2022-11-13 20:55:10.487717,2.26,0.37,35.0,2086203392,4195,621,2641,100
2022-11-13 20:55:11.597061,0.82,0.13,16.9,2086031360,2800,466,2489,100
2022-11-13 20:55:12.685070,0.88,0.11,16.1,2085826560,2644,466,2644,100
2022-11-13 20:55:13.770064,0.88,0.12,15.6,2086518784,2489,466,2644,100
2022-11-13 20:55:14.858007,0.94,0.08,15.1,2086621184,2489,466,2489,100
2022-11-13 20:55:15.941911,0.94,0.08,15.8,2086154240,2644,466,2644,100
2022-11-13 20:55:17.027625,0.77,0.13,18.5,2086023168,2644,466,2644,100
2022-11-13 20:55:18.112433,0.81,0.07,17.0,2086109184,2334,466,2334,100
2022-11-13 20:55:19.196809,0.86,0.06,13.5,2086445056,2489,466,2644,100
2022-11-13 20:55:20.279295,0.81,0.07,13.4,2086404096,2489,466,2644,100
2022-11-13 20:55:21.370058,0.86,0.1,15.5,2096619520,2644,466,2489,100
2022-11-13 20:55:22.454936,0.86,0.12,19.0,2086494208,2490,466,2489,100
2022-11-13 20:55:23.539772,0.89,0.09,15.0,2086100992,2490,466,2490,100
2022-11-13 20:55:24.623148,0.82,0.13,15.1,2086129664,2334,466,2490,100
2022-11-13 20:55:25.708006,0.74,0.13,16.0,2086199296,2489,466,2489,100
2022-11-13 20:55:26.793050,0.81,0.11,16.2,2086510592,2489,466,2489,100
2022-11-13 20:55:27.875591,0.85,0.1,15.1,2086531072,2333,466,2489,100
2022-11-13 20:55:28.960517,0.8,0.13,14.9,2086678528,2334,466,2490,100
2022-11-13 20:55:30.045203,0.8,0.11,15.7,2086383616,2334,466,2490,100
2022-11-13 20:55:31.127490,0.8,0.17,15.4,2086813696,2334,466,2490,100
2022-11-13 20:55:32.207888,0.88,0.08,15.0,2086416384,2334,466,2490,100
2022-11-13 20:55:33.297105,0.9,0.09,14.7,2086486016,2490,466,2490,100
2022-11-13 20:55:34.379202,0.91,0.07,14.7,2086342656,2489,466,2489,100
2022-11-13 20:55:35.465060,0.85,0.11,15.9,2086195200,2334,466,2490,100
2022-11-13 20:55:36.551368,0.85,0.11,15.7,2086498304,2333,466,2489,100
2022-11-13 20:55:37.636312,0.85,0.11,15.2,2086379520,2334,466,2490,100
2022-11-13 20:55:38.722231,0.86,0.11,14.5,2086232064,2334,466,2334,100
