2019-04-07 01:57:15.314536,47.51150045 6.79326046667,66.7
2019-04-07 01:57:15.432143,47.51150045 6.79326041667,42.6
2019-04-07 01:57:15.630195,47.51150045 6.79326045,33.3
2019-04-07 01:57:15.898369,47.5115004333 6.7932604,37.9
2019-04-07 01:57:16.041858,47.5115004833 6.79326035,33.3
2019-04-07 01:57:16.334771,47.5115004333 6.79326038333,34.9
2019-04-07 01:57:16.583097,47.51150045 6.79326035,60.2
2019-04-07 01:57:16.731977,47.5115004333 6.79326035,74.1
2019-04-07 01:57:16.970389,47.5115003833 6.79326038333,78.2
2019-04-07 01:57:17.110754,47.5115004 6.79326038333,62.7
2019-04-07 01:57:17.366035,47.5115004 6.7932604,60.4
2019-04-07 01:57:17.470681,47.5115004 6.79326038333,40.0
2019-04-07 01:57:17.648023,47.5115003667 6.79326041667,32.3
2019-04-07 01:57:17.830532,47.5115004333 6.7932604,31.8
2019-04-07 01:57:18.108808,47.5115004 6.79326038333,33.7
2019-04-07 01:57:18.290014,47.5115004167 6.79326036667,33.3
2019-04-07 01:57:18.469750,47.5115003833 6.79326036667,34.8
2019-04-07 01:57:18.643077,47.5115004 6.79326033333,76.1
2019-04-07 01:57:18.994535,47.5115004167 6.79326038333,79.4
2019-04-07 01:57:19.186875,47.5115004167 6.79326038333,58.0
2019-04-07 01:57:19.294300,47.5115004167 6.79326036667,62.5
2019-04-07 01:57:19.429395,47.5115004 6.79326036667,64.7
2019-04-07 01:57:19.690969,47.5115003833 6.79326036667,36.4
2019-04-07 01:57:19.903977,47.5115003833 6.79326036667,36.6
2019-04-07 01:57:20.039885,47.5115004 6.79326038333,37.0
2019-04-07 01:57:20.229302,47.5115004 6.79326041667,31.9
2019-04-07 01:57:20.567578,47.5115004167 6.7932604,49.2
2019-04-07 01:57:20.755224,47.5115004 6.7932604,68.1
2019-04-07 01:57:20.939778,47.5115004 6.79326036667,82.9
2019-04-07 01:57:21.111506,47.5115004 6.79326035,64.9
2019-04-07 01:57:21.232502,47.5115004 6.79326036667,71.4
2019-04-07 01:57:21.473805,47.51150045 6.7932603,57.0
2019-04-07 01:57:21.641865,47.5115003333 6.79326033333,35.8
2019-04-07 01:57:21.838292,47.5115004333 6.79326038333,41.0
2019-04-07 01:57:22.040166,47.5115004333 6.79326041667,41.5
2019-04-07 01:57:22.258808,47.5115003833 6.79326041667,37.2
2019-04-07 01:57:22.433400,47.5115003833 6.79326045,39.4
2019-04-07 01:57:22.697168,47.5115004167 6.79326045,72.1
2019-04-07 01:57:22.837823,47.5115004 6.79326043333,83.1
2019-04-07 01:57:23.150541,47.5115004 6.79326046667,73.7
2019-04-07 01:57:23.287221,47.5115003833 6.79326045,66.1
2019-04-07 01:57:23.443586,47.5115003667 6.79326048333,66.7
2019-04-07 01:57:23.727771,47.5115003833 6.79326045,49.1
2019-04-07 01:57:23.863740,47.51150035 6.79326033333,40.0
2019-04-07 01:57:24.081105,47.5115003667 6.79326033333,39.8
2019-04-07 01:57:24.231560,47.51150035 6.79326033333,41.0
2019-04-07 01:57:24.524939,47.51150035 6.79326035,40.8
2019-04-07 01:57:24.734621,47.5115003333 6.79326033333,70.9
2019-04-07 01:57:25.060604,47.5115004333 6.7932604,75.8
2019-04-07 01:57:25.339388,47.5115004167 6.7932604,62.1
2019-04-07 01:57:25.509502,47.5115004167 6.7932604,56.9
2019-04-07 01:57:25.638949,47.5115004333 6.79326045,44.7
2019-04-07 01:57:25.828083,47.5115003833 6.79326036667,30.4
2019-04-07 01:57:26.104029,47.5115003833 6.79326036667,37.4
2019-04-07 01:57:26.284140,47.5115003833 6.79326036667,30.8
2019-04-07 01:57:26.446131,47.5115003833 6.7932604,40.0
2019-04-07 01:57:26.675916,47.5115003833 6.79326036667,74.2
2019-04-07 01:57:26.998842,47.5115003833 6.79326036667,80.2
2019-04-07 01:57:27.201919,47.5115003667 6.79326038333,60.0
2019-04-07 01:57:27.331926,47.5115003833 6.7932604,63.3
2019-04-07 01:57:27.441756,47.5115003667 6.79326036667,64.3
2019-04-07 01:57:27.719731,47.5115003667 6.7932604,50.9
2019-04-07 01:57:27.936340,47.5115003833 6.79326036667,39.5
2019-04-07 01:57:28.038193,47.5115003833 6.79326038333,40.0
2019-04-07 01:57:28.251615,47.5115004 6.79326038333,35.1
2019-04-07 01:57:28.436403,47.5115003667 6.7932604,39.1
2019-04-07 01:57:28.718531,47.5115003167 6.79326036667,74.8
2019-04-07 01:57:28.907820,47.5115001667 6.79326028333,76.3
2019-04-07 01:57:29.080988,47.51149985 6.79326015,78.5
2019-04-07 01:57:29.233364,47.5114995167 6.79326003333,65.5
2019-04-07 01:57:29.524599,47.5114989667 6.79325966667,62.2
2019-04-07 01:57:29.668024,47.5114982167 6.79325923333,46.2
2019-04-07 01:57:29.830276,47.5114975333 6.79325883333,37.7
2019-04-07 01:57:30.148670,47.5114969333 6.79325853333,40.3
2019-04-07 01:57:30.262188,47.5114961833 6.7932582,36.6
2019-04-07 01:57:30.463376,47.5114952 6.79325773333,40.5
2019-04-07 01:57:30.630885,47.5114941833 6.79325751667,73.0
2019-04-07 01:57:31.055896,47.5114931167 6.79325703333,76.4
2019-04-07 01:57:31.207766,47.5114913167 6.79325606667,63.9
2019-04-07 01:57:31.312408,47.5114896 6.79325536667,65.0
2019-04-07 01:57:31.438848,47.5114881 6.7932549,64.4
2019-04-07 01:57:31.702024,47.5114862 6.79325386667,42.0
2019-04-07 01:57:31.868755,47.5114843833 6.79325341667,36.5
2019-04-07 01:57:32.068802,47.5114820667 6.7932526,39.7
2019-04-07 01:57:32.226953,47.5114796167 6.79325138333,38.7
2019-04-07 01:57:32.501528,47.51147705 6.79325101667,37.1
2019-04-07 01:57:32.732804,47.5114748 6.79324955,73.1
2019-04-07 01:57:32.905654,47.5114727333 6.79325035,68.7
2019-04-07 01:57:33.069077,47.5114705 6.79324998333,90.6
2019-04-07 01:57:33.338180,47.5114680667 6.7932495,64.5
2019-04-07 01:57:33.455578,47.51146565 6.79324906667,65.9
2019-04-07 01:57:33.712584,47.5114637167 6.79324966667,44.8
2019-04-07 01:57:33.898025,47.51146145 6.79324998333,31.3
2019-04-07 01:57:34.040940,47.5114593833 6.79325066667,37.0
2019-04-07 01:57:34.228184,47.5114570667 6.79325085,38.0
2019-04-07 01:57:34.554641,47.5114557667 6.7932522,47.5
2019-04-07 01:57:34.680665,47.51145425 6.79325231667,69.4
2019-04-07 01:57:34.870661,47.51145355 6.79325345,69.0
2019-04-07 01:57:35.194080,47.5114529667 6.79325351667,76.7
2019-04-07 01:57:35.291605,47.5114530333 6.79325355,73.0
2019-04-07 01:57:35.472298,47.5114531833 6.79325375,55.9
2019-04-07 01:57:35.628785,47.5114529833 6.79325351667,42.4
2019-04-07 01:57:35.867930,47.5114533333 6.79325428333,35.2
2019-04-07 01:57:36.041215,47.5114533667 6.79325431667,34.9
2019-04-07 01:57:36.231148,47.51145335 6.79325426667,38.9
2019-04-07 01:57:36.465586,47.5114533667 6.79325433333,37.5
2019-04-07 01:57:36.692926,47.51145335 6.79325428333,67.4
2019-04-07 01:57:36.828008,47.51145345 6.79325423333,71.4
2019-04-07 01:57:37.165042,47.5114540667 6.79325375,75.4
2019-04-07 01:57:37.314698,47.5114549333 6.79325296667,61.4
2019-04-07 01:57:37.433234,47.5114563333 6.79325226667,63.0
2019-04-07 01:57:37.629433,47.511458 6.79325116667,37.0
2019-04-07 01:57:37.855243,47.5114605333 6.7932501,40.2
2019-04-07 01:57:38.042151,47.5114628167 6.79324828333,38.4
2019-04-07 01:57:38.301875,47.5114651167 6.79324555,38.8
2019-04-07 01:57:38.460949,47.5114677167 6.79324268333,38.7
2019-04-07 01:57:38.646262,47.5114706333 6.79323955,76.6
2019-04-07 01:57:38.990676,47.5114736167 6.79323551667,74.1
2019-04-07 01:57:39.095522,47.5114770167 6.79323141667,76.2
2019-04-07 01:57:39.259840,47.5114797833 6.79322603333,68.7
2019-04-07 01:57:39.526155,47.5114829 6.79322043333,56.8
2019-04-07 01:57:39.685497,47.5114852667 6.79321336667,38.3
2019-04-07 01:57:39.832430,47.5114871667 6.79320683333,39.7
2019-04-07 01:57:40.115514,47.5114889 6.79319915,36.8
2019-04-07 01:57:40.281525,47.5114907 6.79319155,40.0
2019-04-07 01:57:40.463294,47.5114910833 6.79318306667,38.6
2019-04-07 01:57:40.794990,47.5114920833 6.79317475,73.1
2019-04-07 01:57:41.005232,47.5114926167 6.79316641667,85.7
2019-04-07 01:57:41.154165,47.5114921167 6.79315813333,61.1
2019-04-07 01:57:41.256168,47.5114917167 6.79314985,71.8
2019-04-07 01:57:41.429363,47.5114905167 6.79314123333,64.2
2019-04-07 01:57:41.656154,47.5114887 6.7931326,52.8
2019-04-07 01:57:41.832436,47.5114864167 6.7931243,29.0
2019-04-07 01:57:42.114001,47.51148395 6.79311603333,37.1
2019-04-07 01:57:42.295398,47.5114810333 6.79310806667,37.3
2019-04-07 01:57:42.454636,47.51147765 6.79310043333,37.7
2019-04-07 01:57:42.629274,47.51147355 6.79309315,75.8
2019-04-07 01:57:42.917814,47.51146865 6.79308568333,73.9
2019-04-07 01:57:43.076694,47.5114637167 6.793079,78.7
2019-04-07 01:57:43.228975,47.5114593 6.79307143333,72.1
2019-04-07 01:57:43.473180,47.5114538667 6.79306523333,60.4
2019-04-07 01:57:43.635941,47.51144835 6.79305931667,41.5
2019-04-07 01:57:43.835132,47.5114429667 6.79305291667,39.0
2019-04-07 01:57:44.065402,47.5114374833 6.79304603333,38.4
2019-04-07 01:57:44.269639,47.5114320333 6.79303938333,36.2
2019-04-07 01:57:44.433821,47.51142635 6.79303256667,45.5
2019-04-07 01:57:44.755621,47.5114209167 6.79302508333,72.8
2019-04-07 01:57:44.962957,47.5114158 6.79301688333,82.7
2019-04-07 01:57:45.109895,47.5114105 6.79300893333,59.3
2019-04-07 01:57:45.355605,47.5114056333 6.7930003,66.7
2019-04-07 01:57:45.467334,47.5114013667 6.79299083333,54.5
